developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Gunfire Games,Action Adventure,"Oct 30, 2015",Metro GameCentral,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Brash Games,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",PlayStation LifeStyle,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",The Jimquisition,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",VideoGamer,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Everyeye.it,70,72,Darksiders II: Deathinitive Edition,7.3
Dennaton,General,"Mar 10, 2015",Play UK,93,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",PlayStation LifeStyle,90,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Power Unlimited,90,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Hobby Consolas,86,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",GRYOnline.pl,85,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",PSNStores,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Atomix,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Push Square,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",PlayStation Universe,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Twinfinite,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",Kill Screen,80,75,Hotline Miami 2: Wrong Number,7.6
Dennaton,General,"Mar 10, 2015",The Digital Fix,75,75,Hotline Miami 2: Wrong Number,7.6
MixedBag Srl,Action,"Sep 30, 2014",Gaming Nexus,90,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",4Players.de,82,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",SpazioGames,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",PlayStation Universe,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Multiplayer.it,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",IGN Italia,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Push Square,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Gamestyle,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Eurogamer Italy,80,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Softpedia,75,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Everyeye.it,75,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Hobby Consolas,70,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",God is a Geek,70,73,Futuridium EP Deluxe,5.6
MixedBag Srl,Action,"Sep 30, 2014",Vandal,69,73,Futuridium EP Deluxe,5.6
MachineGames,Action,"May  5, 2015",Gaming Age,91,76,Wolfenstein: The Old Blood,7.8
MachineGames,Action,"May  5, 2015",Digital Chumps,90,76,Wolfenstein: The Old Blood,7.8
