note,developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
175,Gunfire Games,Action Adventure,30-Oct-15,Atomix,80,72,Darksiders II: Deathinitive Edition,7.3
176,Gunfire Games,Action Adventure,30-Oct-15,Slant Magazine,80,72,Darksiders II: Deathinitive Edition,7.3
177,Gunfire Games,Action Adventure,30-Oct-15,GamingTrend,80,72,Darksiders II: Deathinitive Edition,7.3
178,Gunfire Games,Action Adventure,30-Oct-15,Push Square,80,72,Darksiders II: Deathinitive Edition,7.3
179,Gunfire Games,Action Adventure,30-Oct-15,Multiplayer.it,78,72,Darksiders II: Deathinitive Edition,7.3
180,Gunfire Games,Action Adventure,30-Oct-15,CGMagazine,75,72,Darksiders II: Deathinitive Edition,7.3
181,Gunfire Games,Action Adventure,30-Oct-15,Meristation,75,72,Darksiders II: Deathinitive Edition,7.3
182,Gunfire Games,Action Adventure,30-Oct-15,IGN,75,72,Darksiders II: Deathinitive Edition,7.3
183,Gunfire Games,Action Adventure,30-Oct-15,GameOver.gr,70,72,Darksiders II: Deathinitive Edition,7.3
184,Gunfire Games,Action Adventure,30-Oct-15,Gamers' Temple,70,72,Darksiders II: Deathinitive Edition,7.3
185,Gunfire Games,Action Adventure,30-Oct-15,The Digital Fix,70,72,Darksiders II: Deathinitive Edition,7.3
186,Gunfire Games,Action Adventure,30-Oct-15,Game Revolution,70,72,Darksiders II: Deathinitive Edition,7.3
187,Gunfire Games,Action Adventure,30-Oct-15,Eurogamer Italy,70,72,Darksiders II: Deathinitive Edition,7.3
188,Gunfire Games,Action Adventure,30-Oct-15,Metro GameCentral,70,72,Darksiders II: Deathinitive Edition,7.3
189,Gunfire Games,Action Adventure,30-Oct-15,Brash Games,70,72,Darksiders II: Deathinitive Edition,7.3
190,Gunfire Games,Action Adventure,30-Oct-15,PlayStation LifeStyle,70,72,Darksiders II: Deathinitive Edition,7.3
191,Gunfire Games,Action Adventure,30-Oct-15,The Jimquisition,70,72,Darksiders II: Deathinitive Edition,7.3
192,Gunfire Games,Action Adventure,30-Oct-15,VideoGamer,70,72,Darksiders II: Deathinitive Edition,7.3
193,Gunfire Games,Action Adventure,30-Oct-15,Everyeye.it,70,72,Darksiders II: Deathinitive Edition,7.3
194,Dennaton,General,10-Mar-15,Play UK,93,75,Hotline Miami 2: Wrong Number,7.6
195,Dennaton,General,10-Mar-15,PlayStation LifeStyle,90,75,Hotline Miami 2: Wrong Number,7.6
196,Dennaton,General,10-Mar-15,Power Unlimited,90,75,Hotline Miami 2: Wrong Number,7.6
197,Dennaton,General,10-Mar-15,Hobby Consolas,86,75,Hotline Miami 2: Wrong Number,7.6
198,Dennaton,General,10-Mar-15,GRYOnline.pl,85,75,Hotline Miami 2: Wrong Number,7.6
199,Dennaton,General,10-Mar-15,PSNStores,80,75,Hotline Miami 2: Wrong Number,7.6
200,Dennaton,General,10-Mar-15,Atomix,80,75,Hotline Miami 2: Wrong Number,7.6
201,Dennaton,General,10-Mar-15,Push Square,80,75,Hotline Miami 2: Wrong Number,7.6
202,Dennaton,General,10-Mar-15,PlayStation Universe,80,75,Hotline Miami 2: Wrong Number,7.6
203,Dennaton,General,10-Mar-15,Twinfinite,80,75,Hotline Miami 2: Wrong Number,7.6
204,Dennaton,General,10-Mar-15,Kill Screen,80,75,Hotline Miami 2: Wrong Number,7.6
205,Dennaton,General,10-Mar-15,The Digital Fix,75,75,Hotline Miami 2: Wrong Number,7.6
206,MixedBag Srl,Action,30-Sep-14,Gaming Nexus,90,73,Futuridium EP Deluxe,5.6
207,MixedBag Srl,Action,30-Sep-14,4Players.de,82,73,Futuridium EP Deluxe,5.6
208,MixedBag Srl,Action,30-Sep-14,SpazioGames,80,73,Futuridium EP Deluxe,5.6
209,MixedBag Srl,Action,30-Sep-14,PlayStation Universe,80,73,Futuridium EP Deluxe,5.6
210,MixedBag Srl,Action,30-Sep-14,Multiplayer.it,80,73,Futuridium EP Deluxe,5.6
211,MixedBag Srl,Action,30-Sep-14,IGN Italia,80,73,Futuridium EP Deluxe,5.6
212,MixedBag Srl,Action,30-Sep-14,Push Square,80,73,Futuridium EP Deluxe,5.6
213,MixedBag Srl,Action,30-Sep-14,Gamestyle,80,73,Futuridium EP Deluxe,5.6
214,MixedBag Srl,Action,30-Sep-14,Eurogamer Italy,80,73,Futuridium EP Deluxe,5.6
215,MixedBag Srl,Action,30-Sep-14,Softpedia,75,73,Futuridium EP Deluxe,5.6
216,MixedBag Srl,Action,30-Sep-14,Everyeye.it,75,73,Futuridium EP Deluxe,5.6
217,MixedBag Srl,Action,30-Sep-14,Hobby Consolas,70,73,Futuridium EP Deluxe,5.6
218,MixedBag Srl,Action,30-Sep-14,God is a Geek,70,73,Futuridium EP Deluxe,5.6
219,MixedBag Srl,Action,30-Sep-14,Vandal,69,73,Futuridium EP Deluxe,5.6
220,MachineGames,Action,5-May-15,Gaming Age,91,76,Wolfenstein: The Old Blood,7.8
221,MachineGames,Action,5-May-15,Digital Chumps,90,76,Wolfenstein: The Old Blood,7.8
222,MachineGames,Action,5-May-15,Gaming Nexus,88,76,Wolfenstein: The Old Blood,7.8
223,MachineGames,Action,5-May-15,Impulsegamer,86,76,Wolfenstein: The Old Blood,7.8
224,MachineGames,Action,5-May-15,GameCrate,85,76,Wolfenstein: The Old Blood,7.8
225,MachineGames,Action,5-May-15,LaPS4,85,76,Wolfenstein: The Old Blood,7.8
226,MachineGames,Action,5-May-15,PSX-Sense.nl,85,76,Wolfenstein: The Old Blood,7.8
227,MachineGames,Action,5-May-15,Atomix,85,76,Wolfenstein: The Old Blood,7.8
228,MachineGames,Action,5-May-15,GameOver.gr,80,76,Wolfenstein: The Old Blood,7.8
229,MachineGames,Action,5-May-15,Dealspwn,80,76,Wolfenstein: The Old Blood,7.8
230,MachineGames,Action,5-May-15,DarkStation,80,76,Wolfenstein: The Old Blood,7.8
231,MachineGames,Action,5-May-15,Telegraph,80,76,Wolfenstein: The Old Blood,7.8
232,MachineGames,Action,5-May-15,XGN,80,76,Wolfenstein: The Old Blood,7.8
233,MachineGames,Action,5-May-15,Digital Trends,80,76,Wolfenstein: The Old Blood,7.8
234,MachineGames,Action,5-May-15,CGMagazine,80,76,Wolfenstein: The Old Blood,7.8
235,MachineGames,Action,5-May-15,Gamestyle,80,76,Wolfenstein: The Old Blood,7.8
236,MachineGames,Action,5-May-15,NZGamer,80,76,Wolfenstein: The Old Blood,7.8
237,MachineGames,Action,5-May-15,GamesBeat,80,76,Wolfenstein: The Old Blood,7.8
238,MachineGames,Action,5-May-15,GamesRadar+,80,76,Wolfenstein: The Old Blood,7.8
239,MachineGames,Action,5-May-15,Vandal,80,76,Wolfenstein: The Old Blood,7.8
240,MachineGames,Action,5-May-15,Shacknews,80,76,Wolfenstein: The Old Blood,7.8
241,MachineGames,Action,5-May-15,USgamer,80,76,Wolfenstein: The Old Blood,7.8
242,MachineGames,Action,5-May-15,Arcade Sushi,80,76,Wolfenstein: The Old Blood,7.8
243,MachineGames,Action,5-May-15,Metro GameCentral,80,76,Wolfenstein: The Old Blood,7.8
244,MachineGames,Action,5-May-15,Gamers' Temple,80,76,Wolfenstein: The Old Blood,7.8
245,MachineGames,Action,5-May-15,GamesVillage.it,80,76,Wolfenstein: The Old Blood,7.8
246,MachineGames,Action,5-May-15,Everyeye.it,79,76,Wolfenstein: The Old Blood,7.8
247,MachineGames,Action,5-May-15,GameTrailers,79,76,Wolfenstein: The Old Blood,7.8
248,MachineGames,Action,5-May-15,PLAY! Zine,78,76,Wolfenstein: The Old Blood,7.8
249,MachineGames,Action,5-May-15,PlayStation Universe,77,76,Wolfenstein: The Old Blood,7.8
250,MachineGames,Action,5-May-15,PlayStation LifeStyle,75,76,Wolfenstein: The Old Blood,7.8
251,MachineGames,Action,5-May-15,Game Informer,75,76,Wolfenstein: The Old Blood,7.8
252,MachineGames,Action,5-May-15,Hobby Consolas,75,76,Wolfenstein: The Old Blood,7.8
253,MachineGames,Action,5-May-15,IGN Italia,75,76,Wolfenstein: The Old Blood,7.8
254,MachineGames,Action,5-May-15,Merlin'in Kazanı (Turkey),75,76,Wolfenstein: The Old Blood,7.8
255,MachineGames,Action,5-May-15,games(TM),73,76,Wolfenstein: The Old Blood,7.8
256,MachineGames,Action,5-May-15,Gamer.no,73,76,Wolfenstein: The Old Blood,7.8
257,MachineGames,Action,5-May-15,GameSpot,70,76,Wolfenstein: The Old Blood,7.8
258,MachineGames,Action,5-May-15,Digitally Downloaded,70,76,Wolfenstein: The Old Blood,7.8
259,MachineGames,Action,5-May-15,Level7.nu,70,76,Wolfenstein: The Old Blood,7.8
260,MachineGames,Action,5-May-15,Slant Magazine,70,76,Wolfenstein: The Old Blood,7.8
261,MachineGames,Action,5-May-15,Washington Post,70,76,Wolfenstein: The Old Blood,7.8
