developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
DONTNOD Entertainment,Sci-Fi,20-Oct-15,TheSixthAxis,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Hobby Consolas,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,GameTrailers,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,IGN Spain,87,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,PLAY! Zine,87,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Vandal,86,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,PSX Extreme,85,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Metro GameCentral,85,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Slant Magazine,85,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,GamesRadar+,80,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,LaPS4,80,85,Life is Strange,8.6
Visual Concepts,Sports,12-Nov-13,LaPS4,91,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Vandal,91,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,JeuxActu,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Eurogamer Germany,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,InsideGamer.nl,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Gamer.nl,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Playstation Official Magazine UK,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Meristation,90,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,IGN,89,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,4Players.de,89,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,XGN,88,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Game Informer,87,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,DarkStation,85,85,NBA 2K14,6.5
Visual Concepts,Sports,12-Nov-13,Push Square,85,85,NBA 2K14,6.5
id Software,Sci-Fi,13-May-16,Telegraph,100,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Giant Bomb,100,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,GamesRadar+,100,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,IBTimes UK,100,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Brash Games,100,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Digital Chumps,96,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Power Unlimited,93,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,IGN Italia,91,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,The Digital Fix,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,GameOver.gr,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Gameplanet,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Impulsegamer,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Game Revolution,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,Push Square,90,85,DOOM,8.4
id Software,Sci-Fi,13-May-16,PlayStation Universe,90,85,DOOM,8.4
